concert,concert_hour,correct,date,purchase_hour,stage
"Gustavo Mota, Whethan, Louis the Child","13:20, 14:30, 15:45",No,Saturday,14:31,Perry
Red Hot Chilli Peppers,21:10,Yes,Friday,22:48,Budweiser
Chance de Rapper,18:30,No,Friday,19:43,Budweiser
Royal Blood,17:25,No,Friday,17:49,Onix
"Volbeat, Royal Blood","15:20, 17:25",No,Friday,16:52,Onix
Oh Wonder,16:20,Yes,Friday,16:15,Axe
,,No,Sunday,22:13,Perry
Hardwell,20:55,Yes,Sunday,21:20,Perry
"Khalid, Lana Del Rey","17:15, 19:25",Yes,Sunday,18:42,Onix
Khalid,17:15,Yes,Sunday,17:06,Onix
Sofi Tukker,13:20,Yes,Sunday,13:45,Onix
,,No,Saturday,21:56,Onix
Kygo,21:00,Yes,Saturday,21:06,Axe
David Byrne,17:15,Yes,Saturday,17:05,Onix
